,user,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9
,3239849a,1,1,1,1,1,1,1,1,1,1
,78cf2e3c,1,1,1,1,1,1,1,1,1,1
,48de6a6a,1,1,1,1,1,1,1,1,1,1
,e3f621c7,1,1,1,1,1,1,1,1,1,1
,c1d5e132,1,1,1,1,1,1,1,1,1,1
,4b716b01,1,1,1,1,1,1,1,1,1,1
,8ecce37b,1,1,1,1,1,1,1,1,1,1
,90861f42,1,1,1,1,1,1,1,1,1,1
,e699d7f5,1,1,1,1,1,1,1,1,1,1
,8c4f3e03,1,1,1,1,1,1,1,1,1,1
,c391273f,1,1,1,1,1,1,1,1,1,1
,fd0a198a,1,1,1,1,1,1,1,1,1,1
,35708871,1,1,1,1,1,1,1,1,1,1
,8b7a008a,1,1,1,1,1,1,1,1,1,1
,145cf873,1,1,1,1,1,1,1,1,1,1
,8b81e4b1,1,1,1,1,1,1,1,1,1,1
,D3f77575,1,1,1,1,1,1,1,1,1,1
,3cfa6a88,1,1,1,1,1,1,1,1,1,1
,dbc22bef,1,1,1,1,1,1,1,1,1,1
,532f4746,1,1,1,1,1,1,1,1,1,1
,86185467,1,1,1,1,1,1,1,1,1,1
,2261bc57,1,1,1,1,1,1,1,1,1,1
,7e0adf14,1,1,1,1,1,1,1,1,1,1
,2f76f8e0,1,1,1,1,1,1,1,1,1,1
,150e5009,1,1,1,1,1,1,1,1,1,1
,c7c4f7a7,1,1,1,1,1,1,1,1,1,1
,3a114985,1,1,1,1,1,1,1,1,1,1
,4d511101,1,1,1,1,1,1,1,1,1,1
,0b3b42ff,1,1,1,1,1,1,1,1,1,1
,a54ee019,1,1,1,1,1,1,1,1,1,1
,7c75e708,1,1,1,1,1,1,1,1,1,1
,54a91aa5,1,1,1,1,1,1,1,1,1,1
,f9252076,1,1,1,1,1,1,1,1,1,1
,c5fcca65,1,1,1,1,1,1,1,1,1,1
,691d9c31,1,1,1,1,1,1,1,1,1,1
,92778437,1,1,1,1,1,1,1,1,1,1
,7c935964,1,1,1,1,1,1,1,1,1,1
,0ec7b5f5,1,1,1,1,1,1,1,1,1,1
,724028ee,1,1,1,1,1,1,1,1,1,1
,73a9ab4d,1,1,1,1,1,1,1,1,1,1
,D49240de,1,1,1,1,1,1,1,1,1,1
,fc1664bf,1,1,1,1,1,1,1,1,1,1
,381bcf0c,1,1,1,1,1,1,1,1,1,1
,126e4221,1,1,1,1,1,1,1,1,1,1
,9201ab85,1,1,1,1,1,1,1,1,1,1
,60d6f0c5,1,1,1,1,1,1,1,1,1,1
,f20a21ff,1,1,1,1,1,1,1,1,1,1
,160eb7ce,1,1,1,1,1,1,1,1,1,1
,aa07e425,1,1,1,1,1,1,1,1,1,1
,39a9b40e,1,1,1,1,1,1,1,1,1,1
,7a3f13a0,1,1,1,1,1,1,1,1,1,1
,6f2ad3bd,1,1,1,1,1,1,1,1,1,1
,b975d574,1,1,1,1,1,1,1,1,1,1
,bb003f5f,1,1,1,1,1,1,1,1,1,1
,85df0d71,1,1,1,1,1,1,1,1,1,1
,b95261ce,1,1,1,1,1,1,1,1,1,1
,374de59f,1,1,1,1,1,1,1,1,1,1
,fd00d811,1,1,1,1,1,1,1,1,1,1
,f8c3f2b1,1,1,1,1,1,1,1,1,1,1
